    µm         	nm
4.427029e-002	2.868876e+000
4.449275e-002	2.868876e+000
4.471521e-002	2.868876e+000
4.493768e-002	2.898760e+000
4.516014e-002	2.898760e+000
4.538261e-002	2.928644e+000
4.560507e-002	2.868876e+000
4.582753e-002	2.898760e+000
4.605000e-002	2.838992e+000
4.627246e-002	2.898760e+000
4.649493e-002	2.838992e+000
4.671739e-002	2.838992e+000
4.693985e-002	2.898760e+000
4.716232e-002	2.898760e+000
4.738478e-002	2.868876e+000
4.760724e-002	2.868876e+000
4.782971e-002	2.868876e+000
4.805217e-002	2.868876e+000
4.827464e-002	2.898760e+000
4.849710e-002	2.838992e+000
4.871956e-002	2.898760e+000
4.894203e-002	2.868876e+000
4.916449e-002	2.868876e+000
4.938695e-002	2.838992e+000
4.960942e-002	2.868876e+000
4.983188e-002	2.868876e+000
5.005435e-002	2.838992e+000
5.027681e-002	2.838992e+000
5.049927e-002	2.928644e+000
5.072174e-002	2.868876e+000
5.094420e-002	2.809108e+000
5.116667e-002	2.809108e+000
5.138913e-002	2.868876e+000
5.161159e-002	2.838992e+000
5.183406e-002	2.838992e+000
5.205652e-002	2.898760e+000
5.227898e-002	2.898760e+000
5.250145e-002	2.868876e+000
5.272391e-002	2.868876e+000
5.294638e-002	2.868876e+000
5.316884e-002	2.868876e+000
5.339130e-002	2.868876e+000
5.361377e-002	2.868876e+000
5.383623e-002	2.868876e+000
5.405870e-002	2.868876e+000
5.428116e-002	2.898760e+000
5.450362e-002	2.928644e+000
5.472609e-002	2.838992e+000
5.494855e-002	2.838992e+000
5.517101e-002	2.898760e+000
5.539348e-002	2.898760e+000
5.561594e-002	2.809108e+000
5.583841e-002	2.838992e+000
5.606087e-002	2.868876e+000
5.628333e-002	2.838992e+000
5.650580e-002	2.868876e+000
5.672826e-002	2.868876e+000
5.695073e-002	2.898760e+000
5.717319e-002	2.928644e+000
5.739565e-002	2.838992e+000
5.761812e-002	2.898760e+000
5.784058e-002	2.868876e+000
5.806304e-002	2.898760e+000
5.828551e-002	2.868876e+000
5.850797e-002	2.868876e+000
5.873044e-002	2.868876e+000
5.895290e-002	2.928644e+000
5.917536e-002	2.928644e+000
5.939783e-002	2.868876e+000
5.962029e-002	2.868876e+000
5.984275e-002	2.838992e+000
6.006522e-002	2.868876e+000
6.028768e-002	2.898760e+000
6.051015e-002	2.838992e+000
6.073261e-002	2.898760e+000
6.095507e-002	2.779224e+000
6.117754e-002	2.898760e+000
6.140000e-002	2.898760e+000
6.162247e-002	2.868876e+000
6.184493e-002	2.898760e+000
6.206739e-002	2.868876e+000
6.228986e-002	2.868876e+000
6.251232e-002	2.898760e+000
6.273478e-002	2.898760e+000
6.295725e-002	2.868876e+000
6.317971e-002	2.838992e+000
6.340218e-002	2.868876e+000
6.362464e-002	2.868876e+000
6.384710e-002	2.838992e+000
6.406957e-002	2.868876e+000
6.429203e-002	2.809108e+000
6.451450e-002	2.809108e+000
6.473696e-002	2.809108e+000
6.495942e-002	2.838992e+000
6.518189e-002	2.898760e+000
6.540435e-002	2.868876e+000
6.562681e-002	2.868876e+000
6.584928e-002	2.868876e+000
6.607174e-002	2.868876e+000
6.629421e-002	2.809108e+000
6.651667e-002	2.838992e+000
6.673913e-002	2.928644e+000
6.696160e-002	2.809108e+000
6.718406e-002	2.868876e+000
6.740652e-002	2.898760e+000
6.762899e-002	2.928644e+000
6.785145e-002	2.868876e+000
6.807392e-002	2.868876e+000
6.829638e-002	2.898760e+000
6.851884e-002	2.928644e+000
6.874131e-002	2.868876e+000
6.896377e-002	2.898760e+000
6.918624e-002	2.898760e+000
6.940870e-002	2.868876e+000
6.963116e-002	2.928644e+000
6.985363e-002	2.928644e+000
7.007609e-002	2.928644e+000
7.029855e-002	2.898760e+000
7.052102e-002	2.838992e+000
7.074348e-002	2.898760e+000
7.096595e-002	2.898760e+000
7.118841e-002	2.868876e+000
7.141087e-002	2.898760e+000
7.163334e-002	2.898760e+000
7.185580e-002	2.838992e+000
7.207827e-002	2.838992e+000
7.230073e-002	2.838992e+000
7.252319e-002	2.809108e+000
7.274566e-002	2.809108e+000
7.296812e-002	2.898760e+000
7.319058e-002	2.898760e+000
7.341305e-002	2.868876e+000
7.363551e-002	2.838992e+000
7.385798e-002	2.898760e+000
7.408044e-002	2.868876e+000
7.430290e-002	2.868876e+000
7.452537e-002	2.868876e+000
7.474783e-002	2.898760e+000
7.497029e-002	2.898760e+000
7.519276e-002	2.838992e+000
7.541522e-002	2.868876e+000
7.563769e-002	2.928644e+000
7.586015e-002	2.898760e+000
7.608261e-002	2.868876e+000
7.630508e-002	2.838992e+000
7.652754e-002	2.838992e+000
7.675001e-002	2.838992e+000
7.697247e-002	2.868876e+000
7.719493e-002	2.868876e+000
7.741740e-002	2.838992e+000
7.763986e-002	2.898760e+000
7.786232e-002	2.838992e+000
7.808479e-002	2.868876e+000
7.830725e-002	2.868876e+000
7.852972e-002	2.868876e+000
7.875218e-002	2.898760e+000
7.897464e-002	2.868876e+000
7.919711e-002	2.868876e+000
7.941957e-002	2.898760e+000
7.964204e-002	2.898760e+000
7.986450e-002	2.898760e+000
8.008696e-002	2.928644e+000
8.030943e-002	2.898760e+000
8.053189e-002	2.838992e+000
8.075435e-002	2.898760e+000
8.097682e-002	2.898760e+000
8.119928e-002	2.898760e+000
8.142175e-002	2.868876e+000
8.164421e-002	2.898760e+000
8.186667e-002	2.898760e+000
8.208914e-002	2.898760e+000
8.231160e-002	2.898760e+000
8.253406e-002	2.898760e+000
8.275653e-002	2.868876e+000
8.297899e-002	2.898760e+000
8.320146e-002	2.928644e+000
8.342392e-002	2.838992e+000
8.364638e-002	2.898760e+000
8.386885e-002	2.838992e+000
8.409131e-002	2.898760e+000
8.431378e-002	2.928644e+000
8.453624e-002	2.898760e+000
8.475870e-002	2.898760e+000
8.498117e-002	2.898760e+000
8.520363e-002	2.868876e+000
8.542609e-002	2.898760e+000
8.564856e-002	2.868876e+000
8.587102e-002	2.868876e+000
8.609349e-002	2.868876e+000
8.631595e-002	2.898760e+000
8.653841e-002	2.898760e+000
8.676088e-002	2.928644e+000
8.698334e-002	2.928644e+000
8.720581e-002	2.928644e+000
8.742827e-002	2.958528e+000
8.765073e-002	2.898760e+000
8.787320e-002	2.898760e+000
8.809566e-002	2.868876e+000
8.831812e-002	2.868876e+000
8.854059e-002	2.898760e+000
8.876305e-002	2.928644e+000
8.898552e-002	2.898760e+000
8.920798e-002	2.898760e+000
8.943044e-002	2.868876e+000
8.965291e-002	2.958528e+000
8.987537e-002	2.868876e+000
9.009783e-002	2.898760e+000
9.032030e-002	2.868876e+000
9.054276e-002	2.898760e+000
9.076523e-002	2.898760e+000
9.098769e-002	2.868876e+000
9.121015e-002	2.898760e+000
9.143262e-002	2.868876e+000
9.165508e-002	2.928644e+000
9.187755e-002	2.898760e+000
9.210001e-002	2.898760e+000
9.232247e-002	2.898760e+000
9.254494e-002	2.898760e+000
9.276740e-002	2.928644e+000
9.298986e-002	2.898760e+000
9.321233e-002	2.898760e+000
9.343479e-002	2.898760e+000
9.365726e-002	2.898760e+000
9.387972e-002	2.868876e+000
9.410218e-002	2.838992e+000
9.432465e-002	2.868876e+000
9.454711e-002	2.838992e+000
9.476958e-002	2.898760e+000
9.499204e-002	2.868876e+000
9.521450e-002	2.868876e+000
9.543697e-002	2.868876e+000
9.565943e-002	2.838992e+000
9.588189e-002	2.898760e+000
9.610436e-002	2.868876e+000
9.632682e-002	2.868876e+000
9.654929e-002	2.898760e+000
9.677175e-002	2.928644e+000
9.699421e-002	2.898760e+000
9.721668e-002	2.868876e+000
9.743914e-002	2.928644e+000
9.766161e-002	2.838992e+000
9.788407e-002	2.868876e+000
9.810653e-002	2.868876e+000
9.832900e-002	2.838992e+000
9.855146e-002	2.928644e+000
9.877392e-002	2.898760e+000
9.899639e-002	2.898760e+000
9.921885e-002	2.868876e+000
9.944132e-002	2.928644e+000
9.966378e-002	2.898760e+000
9.988624e-002	2.868876e+000
1.001087e-001	2.898760e+000
1.003312e-001	2.838992e+000
1.005536e-001	2.868876e+000
1.007761e-001	2.868876e+000
1.009986e-001	2.838992e+000
1.012210e-001	2.838992e+000
1.014435e-001	2.868876e+000
1.016660e-001	2.838992e+000
1.018884e-001	2.809108e+000
1.021109e-001	2.838992e+000
1.023333e-001	2.958528e+000
1.025558e-001	2.868876e+000
1.027783e-001	2.898760e+000
1.030007e-001	2.898760e+000
1.032232e-001	2.838992e+000
1.034457e-001	2.928644e+000
1.036681e-001	2.838992e+000
1.038906e-001	2.868876e+000
1.041131e-001	2.868876e+000
1.043355e-001	2.898760e+000
1.045580e-001	2.898760e+000
1.047804e-001	2.838992e+000
1.050029e-001	2.928644e+000
1.052254e-001	2.868876e+000
1.054478e-001	2.838992e+000
1.056703e-001	2.898760e+000
1.058928e-001	2.809108e+000
1.061152e-001	2.868876e+000
1.063377e-001	2.928644e+000
1.065602e-001	2.868876e+000
1.067826e-001	2.868876e+000
1.070051e-001	2.838992e+000
1.072275e-001	2.868876e+000
1.074500e-001	2.838992e+000
1.076725e-001	2.868876e+000
1.078949e-001	2.868876e+000
1.081174e-001	2.868876e+000
