    nm         	nm
2.148435e+001	-2.487998e+000
2.159924e+001	-2.459400e+000
2.171413e+001	-2.459400e+000
2.182902e+001	-2.545193e+000
2.194390e+001	-2.545193e+000
2.205879e+001	-2.545193e+000
2.217368e+001	-2.516595e+000
2.228857e+001	-2.487998e+000
2.240346e+001	-2.487998e+000
2.251835e+001	-2.487998e+000
2.263324e+001	-2.487998e+000
2.274813e+001	-2.487998e+000
2.286302e+001	-2.487998e+000
2.297791e+001	-2.545193e+000
2.309280e+001	-2.487998e+000
2.320769e+001	-2.516595e+000
2.332258e+001	-2.573791e+000
2.343747e+001	-2.545193e+000
2.355236e+001	-2.430802e+000
2.366725e+001	-2.487998e+000
2.378214e+001	-2.487998e+000
2.389702e+001	-2.459400e+000
2.401191e+001	-2.459400e+000
2.412680e+001	-2.487998e+000
2.424169e+001	-2.516595e+000
2.435658e+001	-2.516595e+000
2.447147e+001	-2.516595e+000
2.458636e+001	-2.487998e+000
2.470125e+001	-2.402205e+000
2.481614e+001	-2.459400e+000
2.493103e+001	-2.430802e+000
2.504592e+001	-2.487998e+000
2.516081e+001	-2.459400e+000
2.527570e+001	-2.545193e+000
2.539059e+001	-2.545193e+000
2.550548e+001	-2.573791e+000
2.562037e+001	-2.516595e+000
2.573526e+001	-2.516595e+000
2.585015e+001	-2.516595e+000
2.596503e+001	-2.487998e+000
2.607992e+001	-2.459400e+000
2.619481e+001	-2.459400e+000
2.630970e+001	-2.516595e+000
2.642459e+001	-2.516595e+000
2.653948e+001	-2.487998e+000
2.665437e+001	-2.487998e+000
2.676926e+001	-2.516595e+000
2.688415e+001	-2.545193e+000
2.699904e+001	-2.545193e+000
2.711393e+001	-2.487998e+000
2.722882e+001	-2.516595e+000
2.734371e+001	-2.573791e+000
2.745860e+001	-2.516595e+000
2.757349e+001	-2.545193e+000
2.768838e+001	-2.573791e+000
2.780327e+001	-2.487998e+000
2.791815e+001	-2.430802e+000
2.803304e+001	-2.545193e+000
2.814793e+001	-2.545193e+000
2.826282e+001	-2.573791e+000
2.837771e+001	-2.545193e+000
2.849260e+001	-2.516595e+000
2.860749e+001	-2.545193e+000
2.872238e+001	-2.573791e+000
2.883727e+001	-2.516595e+000
2.895216e+001	-2.516595e+000
2.906705e+001	-2.602389e+000
2.918194e+001	-2.545193e+000
2.929683e+001	-2.487998e+000
2.941172e+001	-2.573791e+000
2.952661e+001	-2.545193e+000
2.964150e+001	-2.516595e+000
2.975639e+001	-2.516595e+000
2.987128e+001	-2.487998e+000
2.998617e+001	-2.516595e+000
3.010106e+001	-2.516595e+000
3.021595e+001	-2.545193e+000
3.033084e+001	-2.545193e+000
3.044573e+001	-2.516595e+000
3.056062e+001	-2.516595e+000
3.067552e+001	-2.487998e+000
3.079041e+001	-2.487998e+000
3.090530e+001	-2.573791e+000
3.102019e+001	-2.487998e+000
3.113508e+001	-2.487998e+000
3.124997e+001	-2.516595e+000
3.136486e+001	-2.545193e+000
3.147975e+001	-2.545193e+000
3.159465e+001	-2.459400e+000
3.170954e+001	-2.516595e+000
3.182443e+001	-2.459400e+000
3.193932e+001	-2.487998e+000
3.205421e+001	-2.459400e+000
3.216910e+001	-2.487998e+000
3.228399e+001	-2.487998e+000
3.239888e+001	-2.545193e+000
3.251377e+001	-2.545193e+000
3.262867e+001	-2.430802e+000
3.274356e+001	-2.545193e+000
3.285845e+001	-2.516595e+000
3.297334e+001	-2.459400e+000
3.308823e+001	-2.516595e+000
3.320312e+001	-2.487998e+000
3.331801e+001	-2.487998e+000
3.343290e+001	-2.459400e+000
3.354780e+001	-2.459400e+000
3.366269e+001	-2.487998e+000
3.377758e+001	-2.545193e+000
3.389247e+001	-2.487998e+000
3.400736e+001	-2.573791e+000
3.412225e+001	-2.516595e+000
3.423714e+001	-2.487998e+000
3.435203e+001	-2.487998e+000
3.446693e+001	-2.487998e+000
3.458182e+001	-2.487998e+000
3.469671e+001	-2.430802e+000
3.481160e+001	-2.516595e+000
3.492649e+001	-2.487998e+000
3.504138e+001	-2.487998e+000
3.515627e+001	-2.516595e+000
3.527116e+001	-2.516595e+000
3.538605e+001	-2.545193e+000
3.550095e+001	-2.487998e+000
3.561584e+001	-2.516595e+000
3.573073e+001	-2.516595e+000
3.584562e+001	-2.516595e+000
3.596051e+001	-2.545193e+000
3.607540e+001	-2.545193e+000
3.619029e+001	-2.459400e+000
3.630518e+001	-2.516595e+000
3.642008e+001	-2.516595e+000
3.653497e+001	-2.487998e+000
3.664986e+001	-2.545193e+000
3.676475e+001	-2.545193e+000
3.687964e+001	-2.487998e+000
3.699453e+001	-2.602389e+000
3.710942e+001	-2.516595e+000
3.722431e+001	-2.487998e+000
3.733921e+001	-2.459400e+000
3.745410e+001	-2.516595e+000
3.756899e+001	-2.487998e+000
3.768388e+001	-2.459400e+000
3.779877e+001	-2.573791e+000
3.791366e+001	-2.545193e+000
3.802855e+001	-2.516595e+000
3.814344e+001	-2.573791e+000
3.825834e+001	-2.516595e+000
3.837323e+001	-2.545193e+000
3.848812e+001	-2.545193e+000
3.860301e+001	-2.545193e+000
3.871790e+001	-2.545193e+000
3.883279e+001	-2.516595e+000
3.894768e+001	-2.487998e+000
3.906257e+001	-2.545193e+000
3.917746e+001	-2.545193e+000
3.929236e+001	-2.545193e+000
3.940725e+001	-2.573791e+000
3.952214e+001	-2.545193e+000
3.963703e+001	-2.459400e+000
3.975192e+001	-2.545193e+000
3.986681e+001	-2.573791e+000
3.998170e+001	-2.459400e+000
4.009659e+001	-2.573791e+000
4.021149e+001	-2.487998e+000
4.032638e+001	-2.459400e+000
4.044127e+001	-2.516595e+000
4.055616e+001	-2.573791e+000
4.067105e+001	-2.573791e+000
4.078594e+001	-2.459400e+000
4.090083e+001	-2.545193e+000
4.101572e+001	-2.545193e+000
4.113062e+001	-2.516595e+000
4.124551e+001	-2.487998e+000
4.136040e+001	-2.487998e+000
4.147529e+001	-2.545193e+000
4.159018e+001	-2.459400e+000
4.170507e+001	-2.402205e+000
4.181996e+001	-2.487998e+000
4.193485e+001	-2.487998e+000
4.204975e+001	-2.430802e+000
4.216464e+001	-2.430802e+000
4.227953e+001	-2.487998e+000
4.239442e+001	-2.516595e+000
4.250931e+001	-2.487998e+000
4.262420e+001	-2.487998e+000
4.273909e+001	-2.516595e+000
4.285398e+001	-2.516595e+000
4.296887e+001	-2.459400e+000
4.308377e+001	-2.487998e+000
4.319866e+001	-2.487998e+000
4.331355e+001	-2.487998e+000
4.342844e+001	-2.602389e+000
4.354333e+001	-2.487998e+000
4.365822e+001	-2.487998e+000
4.377311e+001	-2.459400e+000
4.388800e+001	-2.430802e+000
4.400290e+001	-2.459400e+000
4.411779e+001	-2.487998e+000
4.423268e+001	-2.459400e+000
4.434757e+001	-2.487998e+000
4.446246e+001	-2.487998e+000
4.457735e+001	-2.459400e+000
4.469224e+001	-2.516595e+000
4.480713e+001	-2.430802e+000
4.492203e+001	-2.487998e+000
4.503692e+001	-2.402205e+000
4.515181e+001	-2.516595e+000
4.526670e+001	-2.487998e+000
4.538159e+001	-2.459400e+000
4.549648e+001	-2.487998e+000
4.561137e+001	-2.487998e+000
4.572626e+001	-2.459400e+000
4.584115e+001	-2.545193e+000
4.595605e+001	-2.487998e+000
4.607094e+001	-2.487998e+000
4.618583e+001	-2.545193e+000
4.630072e+001	-2.459400e+000
4.641561e+001	-2.459400e+000
4.653050e+001	-2.516595e+000
4.664539e+001	-2.516595e+000
4.676028e+001	-2.573791e+000
4.687518e+001	-2.545193e+000
4.699007e+001	-2.545193e+000
4.710496e+001	-2.516595e+000
4.721985e+001	-2.487998e+000
4.733474e+001	-2.516595e+000
4.744963e+001	-2.487998e+000
4.756452e+001	-2.487998e+000
4.767941e+001	-2.516595e+000
4.779431e+001	-2.516595e+000
4.790920e+001	-2.459400e+000
4.802409e+001	-2.459400e+000
4.813898e+001	-2.516595e+000
4.825387e+001	-2.545193e+000
4.836876e+001	-2.459400e+000
4.848365e+001	-2.516595e+000
4.859854e+001	-2.573791e+000
4.871344e+001	-2.459400e+000
4.882833e+001	-2.545193e+000
4.894322e+001	-2.545193e+000
4.905811e+001	-2.487998e+000
4.917300e+001	-2.545193e+000
4.928789e+001	-2.516595e+000
4.940278e+001	-2.545193e+000
4.951767e+001	-2.545193e+000
4.963256e+001	-2.487998e+000
4.974746e+001	-2.516595e+000
4.986235e+001	-2.402205e+000
4.997724e+001	-2.545193e+000
5.009213e+001	-2.487998e+000
5.020702e+001	-2.516595e+000
5.032191e+001	-2.487998e+000
5.043680e+001	-2.545193e+000
5.055169e+001	-2.545193e+000
5.066659e+001	-2.516595e+000
5.078148e+001	-2.487998e+000
5.089637e+001	-2.459400e+000
5.101126e+001	-2.516595e+000
5.112615e+001	-2.487998e+000
5.124104e+001	-2.487998e+000
5.135593e+001	-2.516595e+000
5.147082e+001	-2.516595e+000
5.158572e+001	-2.573791e+000
5.170061e+001	-2.516595e+000
5.181550e+001	-2.459400e+000
5.193039e+001	-2.487998e+000
5.204528e+001	-2.573791e+000
5.216017e+001	-2.487998e+000
5.227506e+001	-2.545193e+000
5.238995e+001	-2.545193e+000
5.250484e+001	-2.516595e+000
5.261974e+001	-2.516595e+000
5.273463e+001	-2.487998e+000
5.284952e+001	-2.459400e+000
5.296441e+001	-2.459400e+000
5.307930e+001	-2.487998e+000
5.319419e+001	-2.516595e+000
5.330908e+001	-2.573791e+000
5.342397e+001	-2.545193e+000
5.353887e+001	-2.545193e+000
5.365376e+001	-2.545193e+000
5.376865e+001	-2.516595e+000
5.388354e+001	-2.487998e+000
5.399843e+001	-2.459400e+000
5.411332e+001	-2.545193e+000
5.422821e+001	-2.516595e+000
5.434310e+001	-2.516595e+000
5.445800e+001	-2.545193e+000
5.457289e+001	-2.459400e+000
5.468778e+001	-2.402205e+000
5.480267e+001	-2.487998e+000
5.491756e+001	-2.516595e+000
5.503245e+001	-2.459400e+000
5.514734e+001	-2.487998e+000
5.526223e+001	-2.516595e+000
5.537713e+001	-2.516595e+000
5.549202e+001	-2.516595e+000
5.560691e+001	-2.545193e+000
5.572180e+001	-2.630986e+000
5.583669e+001	-2.487998e+000
5.595158e+001	-2.516595e+000
5.606647e+001	-2.545193e+000
5.618136e+001	-2.516595e+000
5.629625e+001	-2.516595e+000
5.641115e+001	-2.573791e+000
5.652604e+001	-2.487998e+000
5.664093e+001	-2.545193e+000
5.675582e+001	-2.545193e+000
5.687071e+001	-2.459400e+000
5.698560e+001	-2.487998e+000
5.710049e+001	-2.602389e+000
5.721538e+001	-2.516595e+000
5.733028e+001	-2.487998e+000
5.744517e+001	-2.545193e+000
5.756006e+001	-2.487998e+000
5.767495e+001	-2.487998e+000
5.778984e+001	-2.459400e+000
5.790473e+001	-2.516595e+000
5.801962e+001	-2.516595e+000
5.813451e+001	-2.545193e+000
5.824941e+001	-2.545193e+000
5.836430e+001	-2.516595e+000
5.847919e+001	-2.487998e+000
5.859408e+001	-2.516595e+000
5.870897e+001	-2.573791e+000
5.882386e+001	-2.487998e+000
5.893875e+001	-2.545193e+000
5.905364e+001	-2.516595e+000
5.916853e+001	-2.459400e+000
5.928343e+001	-2.545193e+000
5.939832e+001	-2.545193e+000
5.951321e+001	-2.516595e+000
5.962810e+001	-2.573791e+000
5.974299e+001	-2.545193e+000
5.985788e+001	-2.545193e+000
5.997276e+001	-2.573791e+000
6.008765e+001	-2.516595e+000
6.020254e+001	-2.487998e+000
6.031743e+001	-2.459400e+000
6.043231e+001	-2.516595e+000
6.054720e+001	-2.545193e+000
6.066209e+001	-2.545193e+000
6.077698e+001	-2.516595e+000
6.089186e+001	-2.516595e+000
6.100675e+001	-2.487998e+000
6.112164e+001	-2.487998e+000
6.123653e+001	-2.487998e+000
6.135141e+001	-2.545193e+000
6.146630e+001	-2.430802e+000
6.158119e+001	-2.459400e+000
6.169608e+001	-2.487998e+000
6.181097e+001	-2.516595e+000
6.192585e+001	-2.487998e+000
6.204074e+001	-2.487998e+000
6.215563e+001	-2.516595e+000
6.227052e+001	-2.573791e+000
6.238540e+001	-2.545193e+000
6.250029e+001	-2.516595e+000
6.261518e+001	-2.516595e+000
6.273007e+001	-2.459400e+000
6.284495e+001	-2.487998e+000
6.295984e+001	-2.545193e+000
6.307473e+001	-2.487998e+000
6.318962e+001	-2.516595e+000
6.330450e+001	-2.487998e+000
6.341939e+001	-2.487998e+000
6.353428e+001	-2.545193e+000
6.364917e+001	-2.487998e+000
6.376406e+001	-2.545193e+000
6.387894e+001	-2.487998e+000
6.399383e+001	-2.516595e+000
6.410872e+001	-2.487998e+000
6.422361e+001	-2.516595e+000
6.433849e+001	-2.459400e+000
6.445338e+001	-2.516595e+000
6.456827e+001	-2.459400e+000
6.468316e+001	-2.487998e+000
6.479804e+001	-2.430802e+000
6.491293e+001	-2.430802e+000
6.502782e+001	-2.430802e+000
